,month,uv_month_avg_max,uv_month_avg_mean
0,1.0,10.778333333333332,3.869433452088349
1,2.0,9.536296296296298,3.495889516591578
2,3.0,7.330000000000001,2.7060442266972435
3,4.0,4.4799999999999995,1.6412422648526408
4,5.0,2.2909999999999995,0.8124729630145954
5,6.0,1.5220689655172417,0.6209244481763523
6,7.0,1.7709999999999997,0.701668550245044
7,8.0,2.683,0.9942262678525793
8,9.0,4.372413793103449,1.5928288822434185
9,10.0,6.2959999999999985,2.287690021835704
10,11.0,8.249655172413794,2.491358615947164
11,12.0,10.813999999999998,3.505315684963995
