,attraction,rainfall_station,month,avg_rainfall
9,Ballarat,87043.0,10.0,69.0
10,Ballarat,87043.0,11.0,61.78068965517242
11,Ballarat,87043.0,12.0,52.14827586206897
0,Phillip Island,87053.0,1.0,36.54769230769231
1,Phillip Island,87053.0,2.0,41.5922480620155
2,Phillip Island,87053.0,3.0,42.1921875
3,Phillip Island,87053.0,4.0,51.781395348837215
4,Phillip Island,87053.0,5.0,55.110077519379836
5,Phillip Island,87053.0,6.0,54.103846153846156
6,Phillip Island,87053.0,7.0,54.73538461538462
7,Phillip Island,87053.0,8.0,57.27829457364341
8,Phillip Island,87053.0,9.0,59.33769230769231
9,Phillip Island,87053.0,10.0,58.103846153846156
10,Phillip Island,87053.0,11.0,51.74153846153846
11,Phillip Island,87053.0,12.0,45.629230769230766
0,Yarra Valley,86131.0,1.0,44.42628205128205
1,Yarra Valley,86131.0,2.0,46.905769230769224
2,Yarra Valley,86131.0,3.0,49.990967741935485
3,Yarra Valley,86131.0,4.0,55.26363636363635
4,Yarra Valley,86131.0,5.0,55.64904458598726
5,Yarra Valley,86131.0,6.0,52.49426751592358
6,Yarra Valley,86131.0,7.0,50.29679487179488
7,Yarra Valley,86131.0,8.0,58.271153846153844
8,Yarra Valley,86131.0,9.0,62.050641025641035
9,Yarra Valley,86131.0,10.0,66.90384615384616
10,Yarra Valley,86131.0,11.0,62.56474358974361
11,Yarra Valley,86131.0,12.0,56.0974193548387
0,Shire of Mornington Peninsula,87053.0,1.0,36.54769230769231
1,Shire of Mornington Peninsula,87053.0,2.0,41.5922480620155
2,Shire of Mornington Peninsula,87053.0,3.0,42.1921875
3,Shire of Mornington Peninsula,87053.0,4.0,51.781395348837215
4,Shire of Mornington Peninsula,87053.0,5.0,55.110077519379836
5,Shire of Mornington Peninsula,87053.0,6.0,54.103846153846156
6,Shire of Mornington Peninsula,87053.0,7.0,54.73538461538462
7,Shire of Mornington Peninsula,87053.0,8.0,57.27829457364341
8,Shire of Mornington Peninsula,87053.0,9.0,59.33769230769231
9,Shire of Mornington Peninsula,87053.0,10.0,58.103846153846156
10,Shire of Mornington Peninsula,87053.0,11.0,51.74153846153846
11,Shire of Mornington Peninsula,87053.0,12.0,45.629230769230766
0,Daylesford,87043.0,1.0,41.765068493150686
1,Daylesford,87043.0,2.0,46.96849315068493
2,Daylesford,87043.0,3.0,47.08082191780823
3,Daylesford,87043.0,4.0,54.30620689655172
4,Daylesford,87043.0,5.0,56.30689655172413
5,Daylesford,87043.0,6.0,56.27172413793103
6,Daylesford,87043.0,7.0,53.70482758620689
7,Daylesford,87043.0,8.0,60.218620689655175
8,Daylesford,87043.0,9.0,67.25862068965517
9,Daylesford,87043.0,10.0,69.0
10,Daylesford,87043.0,11.0,61.78068965517242
11,Daylesford,87043.0,12.0,52.14827586206897
0,The Murry,80065.0,1.0,32.88968253968253
1,The Murry,80065.0,2.0,29.486178861788616
2,The Murry,80065.0,3.0,34.26341463414634
3,The Murry,80065.0,4.0,32.997580645161285
4,The Murry,80065.0,5.0,42.036800000000014
5,The Murry,80065.0,6.0,44.53495934959351
6,The Murry,80065.0,7.0,40.93983739837398
7,The Murry,80065.0,8.0,43.49918699186993
8,The Murry,80065.0,9.0,39.46341463414634
9,The Murry,80065.0,10.0,43.28943089430894
10,The Murry,80065.0,11.0,35.307317073170736
11,The Murry,80065.0,12.0,33.38373983739837
